Attack Type,Target Industry,Number of Affected Users,Attack Source,Security Vulnerability Type,Incident Resolution Time (in Hours),Financial Loss (in Million $)
Phishing,Education,109907,Insider,Social Engineering,5,74.75
Man-in-the-Middle,Retail,749386,Unknown,Unpatched Software,16,89.11
Malware,Telecommunications,900723,Insider,Zero-day,32,89.79
Phishing,IT,943151,Nation-state,Zero-day,66,49.75
Malware,Education,93580,Nation-state,Unpatched Software,21,1.05
Malware,Retail,303469,Insider,Social Engineering,60,26.66
Malware,Telecommunications,28436,Unknown,Unpatched Software,66,0.71
Phishing,Healthcare,383484,Unknown,Unpatched Software,52,41.92
DDoS,Telecommunications,27446,Insider,Social Engineering,13,40.05
Phishing,Healthcare,39276,Nation-state,Unpatched Software,29,73.13
SQL Injection,IT,88304,Nation-state,Zero-day,41,33.94
Malware,Government,281096,Nation-state,Zero-day,2,4.95
SQL Injection,Banking,793612,Nation-state,Zero-day,12,50.23
Malware,Banking,848188,Nation-state,Unpatched Software,12,49.92
Man-in-the-Middle,IT,374767,Unknown,Unpatched Software,67,70.24
DDoS,Telecommunications,835349,Nation-state,Unpatched Software,8,85.65
SQL Injection,Banking,877560,Nation-state,Weak Passwords,61,64.25
Man-in-the-Middle,Government,249279,Unknown,Weak Passwords,58,58.93
Ransomware,Government,126143,Unknown,Weak Passwords,35,9.24
Malware,Government,7910,Unknown,Unpatched Software,19,50.84
SQL Injection,Education,732802,Nation-state,Weak Passwords,62,85.12
DDoS,Telecommunications,426349,Hacker Group,Unpatched Software,44,12.13
Man-in-the-Middle,Telecommunications,739538,Nation-state,Zero-day,5,6.24
SQL Injection,Retail,251689,Nation-state,Social Engineering,1,17.98
Malware,Education,461291,Insider,Social Engineering,5,75.2
Man-in-the-Middle,Banking,757595,Insider,Weak Passwords,40,71.88
Man-in-the-Middle,Retail,970866,Hacker Group,Weak Passwords,13,12.62
Malware,Government,334916,Nation-state,Weak Passwords,35,79.56
Man-in-the-Middle,IT,384185,Insider,Weak Passwords,71,35.37
Phishing,Education,6670,Nation-state,Social Engineering,24,98.72
Man-in-the-Middle,IT,801177,Nation-state,Social Engineering,11,62.08
Ransomware,Banking,183711,Insider,Zero-day,50,28.79
Malware,Retail,573985,Insider,Weak Passwords,45,83.45
DDoS,Healthcare,675172,Nation-state,Weak Passwords,43,88.04
DDoS,Government,716770,Insider,Unpatched Software,2,35.76
DDoS,IT,825866,Unknown,Weak Passwords,23,43.19
Ransomware,Healthcare,206631,Unknown,Zero-day,64,92.43
Phishing,Banking,153211,Nation-state,Weak Passwords,43,40.18
SQL Injection,IT,322255,Nation-state,Zero-day,41,48.91
Ransomware,Telecommunications,16106,Nation-state,Weak Passwords,29,44.84
Man-in-the-Middle,Education,640851,Unknown,Zero-day,11,51.43
Phishing,Banking,570853,Unknown,Unpatched Software,4,12.42
SQL Injection,Banking,995462,Unknown,Unpatched Software,33,98.91
Ransomware,Telecommunications,716832,Hacker Group,Social Engineering,67,64.68
Malware,Retail,677462,Unknown,Unpatched Software,45,41.34
DDoS,IT,362499,Insider,Unpatched Software,4,52.09
DDoS,Retail,274512,Insider,Weak Passwords,69,26.01
Malware,Government,590555,Nation-state,Social Engineering,27,63.97
Phishing,Telecommunications,297456,Nation-state,Zero-day,20,42.28
Ransomware,Government,465465,Nation-state,Unpatched Software,60,2.73
Man-in-the-Middle,IT,24387,Hacker Group,Unpatched Software,29,58.9
Man-in-the-Middle,Education,871001,Nation-state,Zero-day,39,35.12
Malware,IT,989421,Unknown,Zero-day,46,8.31
Phishing,Retail,190100,Nation-state,Zero-day,69,84.86
SQL Injection,IT,3324,Unknown,Zero-day,65,63.56
Malware,Retail,851177,Insider,Unpatched Software,53,33.24
Malware,Healthcare,477346,Unknown,Social Engineering,8,35.11
Malware,Healthcare,386686,Insider,Zero-day,7,49.73
DDoS,Banking,922456,Insider,Zero-day,67,87.62
DDoS,Telecommunications,954379,Insider,Social Engineering,59,84.09
Phishing,Telecommunications,887186,Insider,Weak Passwords,8,36.34
Malware,Education,197323,Hacker Group,Social Engineering,47,41.28
Malware,IT,294587,Unknown,Social Engineering,43,34.78
Man-in-the-Middle,Telecommunications,191263,Hacker Group,Unpatched Software,68,88.71
Ransomware,Healthcare,332214,Nation-state,Social Engineering,16,88.79
Man-in-the-Middle,Government,196531,Hacker Group,Zero-day,45,56.26
SQL Injection,Banking,258021,Hacker Group,Unpatched Software,46,4.34
Ransomware,Healthcare,920121,Unknown,Social Engineering,21,85.65
SQL Injection,IT,971908,Unknown,Zero-day,16,4.52
Ransomware,IT,760590,Nation-state,Weak Passwords,9,27.19
Man-in-the-Middle,Government,569044,Hacker Group,Social Engineering,27,45.16
SQL Injection,Government,841324,Unknown,Weak Passwords,8,2.3
Malware,Government,668679,Unknown,Social Engineering,27,71.54
SQL Injection,Banking,310150,Unknown,Unpatched Software,21,27.86
Man-in-the-Middle,IT,549414,Unknown,Social Engineering,70,13.21
DDoS,Government,731839,Unknown,Zero-day,14,11.89
SQL Injection,Healthcare,626352,Hacker Group,Social Engineering,33,76.58
DDoS,Banking,626017,Unknown,Unpatched Software,1,92.23
DDoS,Telecommunications,172782,Unknown,Social Engineering,2,70.7
Ransomware,Government,665023,Insider,Unpatched Software,49,2.39
Man-in-the-Middle,Banking,15909,Nation-state,Zero-day,19,89.87
Man-in-the-Middle,Banking,998547,Unknown,Weak Passwords,46,24.28
DDoS,IT,76358,Nation-state,Weak Passwords,58,58.3
Man-in-the-Middle,IT,89704,Hacker Group,Social Engineering,26,84.19
Man-in-the-Middle,Education,191361,Hacker Group,Unpatched Software,11,72.02
Man-in-the-Middle,Government,200862,Insider,Social Engineering,13,0.61
Malware,Government,4966,Hacker Group,Social Engineering,41,89.49
Phishing,Education,344674,Unknown,Weak Passwords,19,34.06
Phishing,Government,449424,Unknown,Unpatched Software,3,37.66
Phishing,Healthcare,162807,Hacker Group,Unpatched Software,4,69.2
DDoS,Banking,21292,Insider,Social Engineering,10,47.1
Malware,Banking,993215,Nation-state,Zero-day,56,25.7
DDoS,Banking,744201,Hacker Group,Zero-day,7,16.58
Phishing,Banking,762300,Nation-state,Social Engineering,20,61.33
DDoS,Government,764003,Insider,Zero-day,43,14.1
DDoS,Banking,761910,Hacker Group,Zero-day,27,33.88
Ransomware,IT,296050,Insider,Weak Passwords,30,87.45
Malware,Government,82853,Hacker Group,Social Engineering,67,27.43
SQL Injection,Banking,700439,Insider,Zero-day,41,34.03
SQL Injection,Retail,351048,Insider,Unpatched Software,57,6.61
Phishing,Retail,36963,Insider,Zero-day,54,17.99
Ransomware,IT,533151,Nation-state,Zero-day,43,99.77
Man-in-the-Middle,Healthcare,62185,Nation-state,Social Engineering,32,61.93
DDoS,Education,231299,Unknown,Unpatched Software,58,48.83
SQL Injection,Retail,914365,Insider,Weak Passwords,52,47.99
Ransomware,Retail,696953,Nation-state,Zero-day,54,47.44
Malware,Education,977607,Hacker Group,Zero-day,62,24.47
Ransomware,Retail,91228,Hacker Group,Social Engineering,22,71.03
Phishing,Government,417253,Insider,Weak Passwords,16,59.95
Man-in-the-Middle,Government,60431,Hacker Group,Weak Passwords,59,44.03
Man-in-the-Middle,Healthcare,567209,Hacker Group,Social Engineering,1,44.69
SQL Injection,IT,596168,Nation-state,Zero-day,15,70.18
Malware,Telecommunications,437357,Unknown,Weak Passwords,56,49.88
Ransomware,IT,588421,Nation-state,Unpatched Software,72,43.88
Phishing,IT,477292,Nation-state,Social Engineering,18,57.17
Phishing,Education,163839,Insider,Social Engineering,19,16.76
SQL Injection,IT,922676,Unknown,Zero-day,6,65.06
Malware,Education,941720,Nation-state,Zero-day,71,34.66
Phishing,Government,647613,Unknown,Social Engineering,53,49.71
Ransomware,Telecommunications,429456,Hacker Group,Social Engineering,28,27.17
Phishing,Government,340643,Unknown,Zero-day,72,85.73
Malware,Education,21833,Hacker Group,Zero-day,2,55.66
Phishing,Education,598297,Insider,Social Engineering,49,3.6
Phishing,Retail,92925,Insider,Zero-day,53,78.28
SQL Injection,Retail,98500,Hacker Group,Unpatched Software,30,70.09
SQL Injection,IT,820070,Hacker Group,Weak Passwords,70,64.56
Phishing,Banking,170892,Unknown,Zero-day,47,66.65
Ransomware,Healthcare,887531,Hacker Group,Social Engineering,51,60.13
DDoS,IT,179507,Insider,Weak Passwords,8,57.81
DDoS,Banking,315219,Unknown,Social Engineering,30,78.71
Phishing,Government,223827,Insider,Zero-day,21,63.35
DDoS,Healthcare,254371,Unknown,Zero-day,13,47.01
DDoS,Government,839088,Unknown,Unpatched Software,62,67.59
DDoS,IT,394109,Unknown,Unpatched Software,37,17.49
DDoS,IT,877224,Unknown,Unpatched Software,57,75.84
Phishing,Telecommunications,846884,Nation-state,Social Engineering,42,91.52
Malware,IT,100972,Nation-state,Unpatched Software,54,44.05
DDoS,Education,148447,Insider,Zero-day,39,40.18
SQL Injection,IT,698908,Nation-state,Zero-day,32,44.56
SQL Injection,Government,633626,Nation-state,Social Engineering,54,53.89
Malware,Government,334748,Unknown,Zero-day,5,88.01
Phishing,Banking,383589,Unknown,Weak Passwords,7,55.94
Ransomware,Education,901880,Unknown,Social Engineering,16,90.48
SQL Injection,Education,598151,Nation-state,Unpatched Software,34,40.59
DDoS,Banking,120341,Nation-state,Zero-day,45,77.29
Phishing,Government,305005,Hacker Group,Zero-day,71,91.02
Man-in-the-Middle,Retail,494622,Hacker Group,Social Engineering,37,46.41
SQL Injection,Banking,264662,Insider,Social Engineering,46,69.07
SQL Injection,Healthcare,942089,Insider,Unpatched Software,39,2.3
Man-in-the-Middle,Education,779870,Nation-state,Zero-day,6,33.45
Phishing,IT,407233,Insider,Unpatched Software,72,15.27
Malware,Banking,148622,Nation-state,Weak Passwords,6,98.59
Ransomware,Healthcare,480773,Hacker Group,Weak Passwords,52,30.45
Malware,IT,946994,Unknown,Zero-day,13,22.24
Malware,Retail,559143,Nation-state,Social Engineering,69,9.75
Man-in-the-Middle,Education,287646,Nation-state,Social Engineering,68,67.55
SQL Injection,Retail,19575,Insider,Zero-day,1,26.97
Malware,Retail,701505,Hacker Group,Social Engineering,36,73.45
Ransomware,Retail,998728,Unknown,Weak Passwords,68,40.01
SQL Injection,Telecommunications,434504,Unknown,Social Engineering,46,52.67
Ransomware,Retail,860546,Unknown,Zero-day,22,61.46
SQL Injection,Education,827349,Nation-state,Unpatched Software,68,62.72
DDoS,IT,145427,Nation-state,Social Engineering,28,2.65
Malware,Government,613718,Unknown,Unpatched Software,60,33.8
Phishing,IT,239301,Unknown,Social Engineering,22,61.47
Phishing,Education,848597,Hacker Group,Weak Passwords,11,16.82
Man-in-the-Middle,Banking,278424,Nation-state,Zero-day,9,73.85
DDoS,Government,23096,Unknown,Weak Passwords,38,97.4
Phishing,Education,68371,Nation-state,Unpatched Software,57,33.49
Ransomware,Healthcare,534686,Insider,Unpatched Software,44,62.21
Man-in-the-Middle,Education,985505,Unknown,Social Engineering,26,75.86
DDoS,Banking,306320,Insider,Unpatched Software,41,98.39
DDoS,Government,799380,Unknown,Weak Passwords,57,17.69
DDoS,IT,529551,Unknown,Zero-day,61,55.14
DDoS,IT,102295,Unknown,Weak Passwords,46,82.49
Phishing,Banking,800131,Unknown,Zero-day,69,64.07
Ransomware,Banking,712739,Nation-state,Weak Passwords,17,32.0
Phishing,Telecommunications,814119,Hacker Group,Weak Passwords,64,39.15
SQL Injection,Education,599905,Nation-state,Social Engineering,13,12.44
DDoS,Healthcare,65117,Unknown,Social Engineering,3,5.07
Phishing,Telecommunications,591348,Nation-state,Weak Passwords,55,6.18
Phishing,Retail,53447,Insider,Unpatched Software,43,55.7
Malware,IT,471379,Unknown,Unpatched Software,67,47.13
SQL Injection,Banking,883919,Hacker Group,Social Engineering,8,76.84
Malware,Telecommunications,606940,Insider,Social Engineering,32,78.46
Man-in-the-Middle,Healthcare,416331,Hacker Group,Unpatched Software,62,56.88
Phishing,Banking,826778,Insider,Zero-day,59,58.38
Ransomware,Healthcare,712697,Insider,Unpatched Software,39,71.36
Man-in-the-Middle,Government,450891,Nation-state,Social Engineering,32,48.19
Phishing,Healthcare,600700,Hacker Group,Zero-day,28,13.91
DDoS,Education,119319,Nation-state,Zero-day,9,44.51
Ransomware,Healthcare,490818,Hacker Group,Unpatched Software,65,55.45
Ransomware,Telecommunications,155170,Insider,Zero-day,15,17.92
Malware,Healthcare,783899,Hacker Group,Social Engineering,29,41.37
Malware,Healthcare,275619,Nation-state,Weak Passwords,4,24.78
SQL Injection,IT,746862,Nation-state,Unpatched Software,51,8.85
SQL Injection,Government,244429,Hacker Group,Zero-day,8,28.13
SQL Injection,Government,287446,Hacker Group,Unpatched Software,56,52.59
DDoS,Retail,966469,Nation-state,Social Engineering,43,79.86
DDoS,IT,126709,Unknown,Weak Passwords,45,47.83
Malware,IT,883977,Nation-state,Unpatched Software,47,54.26
SQL Injection,Retail,805183,Unknown,Weak Passwords,37,78.57
Malware,Telecommunications,434446,Unknown,Social Engineering,28,77.63
Ransomware,Education,63872,Nation-state,Unpatched Software,55,2.27
Ransomware,Education,131307,Hacker Group,Weak Passwords,46,59.0
DDoS,Telecommunications,732072,Hacker Group,Social Engineering,35,25.07
Ransomware,IT,340213,Nation-state,Zero-day,15,43.65
Phishing,Retail,617987,Insider,Social Engineering,23,41.97
Malware,Government,629293,Insider,Weak Passwords,69,56.13
SQL Injection,Healthcare,979308,Nation-state,Social Engineering,10,92.69
Phishing,Healthcare,278126,Unknown,Social Engineering,30,14.38
Man-in-the-Middle,Banking,852868,Unknown,Unpatched Software,8,57.26
Phishing,Retail,43771,Nation-state,Zero-day,49,35.61
SQL Injection,Education,90689,Nation-state,Weak Passwords,40,40.68
SQL Injection,Healthcare,931787,Hacker Group,Unpatched Software,15,31.91
DDoS,Education,992029,Nation-state,Unpatched Software,26,98.61
Ransomware,Government,283947,Hacker Group,Unpatched Software,72,72.24
Malware,Banking,68718,Insider,Social Engineering,47,20.76
DDoS,Education,630087,Nation-state,Social Engineering,72,93.39
DDoS,Telecommunications,481252,Hacker Group,Weak Passwords,48,52.17
Ransomware,IT,935319,Nation-state,Social Engineering,25,58.86
Malware,Banking,159475,Insider,Zero-day,19,23.14
DDoS,Healthcare,316136,Hacker Group,Zero-day,22,90.38
DDoS,IT,445129,Insider,Unpatched Software,19,71.08
DDoS,Healthcare,545588,Insider,Unpatched Software,54,53.42
SQL Injection,Healthcare,3315,Nation-state,Unpatched Software,41,22.8
Ransomware,Retail,919427,Nation-state,Weak Passwords,51,89.71
Phishing,Banking,666877,Nation-state,Weak Passwords,28,99.2
Ransomware,Telecommunications,578125,Insider,Social Engineering,71,49.72
Man-in-the-Middle,Government,616547,Hacker Group,Zero-day,22,13.26
DDoS,Government,976849,Hacker Group,Weak Passwords,12,26.97
Ransomware,Government,931196,Unknown,Social Engineering,27,60.69
Phishing,Banking,240400,Unknown,Weak Passwords,10,38.69
DDoS,IT,281698,Insider,Social Engineering,18,74.59
DDoS,Retail,145401,Insider,Unpatched Software,14,94.19
SQL Injection,Retail,918201,Insider,Zero-day,35,85.18
Malware,Healthcare,71213,Nation-state,Social Engineering,58,42.4
Ransomware,Banking,322611,Unknown,Unpatched Software,16,34.58
SQL Injection,Telecommunications,680011,Insider,Unpatched Software,66,48.84
SQL Injection,Healthcare,165204,Hacker Group,Social Engineering,18,63.93
SQL Injection,Education,693497,Nation-state,Unpatched Software,56,55.5
Malware,Telecommunications,363166,Unknown,Unpatched Software,38,32.6
Ransomware,Retail,942824,Nation-state,Social Engineering,68,52.79
Ransomware,IT,809153,Nation-state,Social Engineering,48,36.9
Ransomware,Education,740421,Unknown,Social Engineering,59,5.51
Malware,Retail,579778,Nation-state,Zero-day,57,52.2
Malware,IT,627616,Insider,Zero-day,29,68.12
SQL Injection,Government,696801,Insider,Zero-day,32,36.09
DDoS,Healthcare,819663,Unknown,Zero-day,5,68.1
SQL Injection,Government,778573,Unknown,Zero-day,62,10.46
Malware,Telecommunications,850214,Unknown,Social Engineering,45,23.21
SQL Injection,Government,83376,Insider,Unpatched Software,62,1.89
Ransomware,Telecommunications,459635,Insider,Unpatched Software,49,48.68
Ransomware,Government,386911,Insider,Social Engineering,33,9.54
Phishing,Telecommunications,756305,Nation-state,Weak Passwords,45,76.26
Phishing,IT,743177,Hacker Group,Unpatched Software,21,55.06
Malware,Education,893060,Unknown,Social Engineering,19,17.3
Malware,Government,358933,Nation-state,Zero-day,3,69.39
Phishing,Government,725325,Insider,Zero-day,16,8.93
Ransomware,IT,597723,Unknown,Zero-day,48,74.03
Phishing,Retail,311675,Unknown,Weak Passwords,18,11.72
Ransomware,Government,74407,Unknown,Unpatched Software,48,21.92
Malware,Government,138915,Hacker Group,Weak Passwords,44,37.07
DDoS,Banking,153829,Hacker Group,Weak Passwords,6,84.09
Phishing,Education,587851,Nation-state,Social Engineering,6,58.86
Malware,Government,728308,Unknown,Zero-day,10,54.59
Malware,Retail,471898,Hacker Group,Social Engineering,55,71.84
SQL Injection,Telecommunications,639630,Insider,Unpatched Software,31,14.15
Malware,Retail,6691,Hacker Group,Zero-day,57,28.79
Ransomware,Retail,672033,Hacker Group,Social Engineering,2,46.96
SQL Injection,Healthcare,719415,Nation-state,Unpatched Software,56,98.03
Malware,Telecommunications,727509,Insider,Zero-day,67,92.53
SQL Injection,Banking,704427,Hacker Group,Zero-day,30,78.89
SQL Injection,Government,147384,Unknown,Zero-day,54,80.0
Ransomware,Banking,545908,Insider,Social Engineering,2,63.14
SQL Injection,IT,354694,Insider,Weak Passwords,18,2.1
DDoS,Banking,849664,Unknown,Social Engineering,40,14.98
SQL Injection,Government,248359,Nation-state,Weak Passwords,58,9.91
Man-in-the-Middle,Retail,254903,Unknown,Social Engineering,4,12.96
Man-in-the-Middle,Education,647998,Insider,Weak Passwords,38,19.59
Phishing,IT,800909,Nation-state,Zero-day,53,37.76
Man-in-the-Middle,Telecommunications,23469,Insider,Zero-day,64,95.8
Phishing,Healthcare,388325,Nation-state,Social Engineering,39,4.87
DDoS,Retail,359124,Insider,Unpatched Software,13,64.39
Malware,Healthcare,992014,Insider,Social Engineering,62,70.36
Malware,Education,596468,Insider,Unpatched Software,29,35.05
Ransomware,Healthcare,801948,Insider,Zero-day,55,58.91
SQL Injection,Healthcare,950991,Nation-state,Social Engineering,49,24.07
Man-in-the-Middle,Healthcare,875912,Insider,Unpatched Software,33,97.14
DDoS,Telecommunications,35041,Hacker Group,Social Engineering,14,36.49
Malware,Retail,431678,Insider,Unpatched Software,60,43.99
SQL Injection,Telecommunications,358439,Insider,Unpatched Software,48,79.71
Malware,Healthcare,905770,Nation-state,Zero-day,9,88.08
Ransomware,Healthcare,843256,Nation-state,Unpatched Software,43,37.89
SQL Injection,IT,691377,Hacker Group,Social Engineering,44,37.94
Ransomware,Education,849791,Nation-state,Unpatched Software,53,18.11
Phishing,Telecommunications,998011,Unknown,Zero-day,14,65.16
Ransomware,Banking,594170,Nation-state,Social Engineering,53,28.14
Malware,Banking,191427,Nation-state,Zero-day,56,60.14
